sport,player,team,position,opponent,stat_type,line,odds_type,start_time
MLB,Chandler Simpson,TB,OF,,Hitter Fantasy Score,11.5,demon,2026-04-29T13:10:00.000-04:00
MLB,José Ramírez,CLE,IF,,Hitter Fantasy Score,11.5,demon,2026-04-29T13:10:00.000-04:00
MLB,Yandy Díaz,TB,IF,,Hitter Fantasy Score,10.5,demon,2026-04-29T13:10:00.000-04:00
MLB,Junior Caminero,TB,IF,,Hitter Fantasy Score,10.5,demon,2026-04-29T13:10:00.000-04:00
MLB,Steven Kwan,CLE,OF,,Hitter Fantasy Score,9.5,demon,2026-04-29T13:10:00.000-04:00
MLB,Chase DeLauter,CLE,OF,,Hitter Fantasy Score,8.5,demon,2026-04-29T13:10:00.000-04:00
MLB,Jonathan Aranda,TB,IF,,Hitter Fantasy Score,8.5,demon,2026-04-29T13:10:00.000-04:00
MLB,Ben Williamson,TB,IF,,Hitter Fantasy Score,8.5,demon,2026-04-29T13:10:00.000-04:00
MLB,Cedric Mullins,TB,OF,,Hitter Fantasy Score,8.5,demon,2026-04-29T13:10:00.000-04:00
MLB,Jake Fraley,TB,OF,,Hitter Fantasy Score,8.5,demon,2026-04-29T13:10:00.000-04:00
MLB,Nick Fortes,TB,C,,Hitter Fantasy Score,7.5,demon,2026-04-29T13:10:00.000-04:00
MLB,Kyle Manzardo,CLE,IF,,Hitter Fantasy Score,7.5,demon,2026-04-29T13:10:00.000-04:00
MLB,George Valera,CLE,OF,,Hitter Fantasy Score,7.5,demon,2026-04-29T13:10:00.000-04:00
MLB,Daniel Schneemann,CLE,IF,,Hitter Fantasy Score,7.5,demon,2026-04-29T13:10:00.000-04:00
MLB,Chandler Simpson,TB,OF,,Hitter Fantasy Score,7,standard,2026-04-29T13:10:00.000-04:00
MLB,Bo Naylor,CLE,C,,Hitter Fantasy Score,6.5,demon,2026-04-29T13:10:00.000-04:00
MLB,José Ramírez,CLE,IF,,Hitter Fantasy Score,6.5,standard,2026-04-29T13:10:00.000-04:00
MLB,Taylor Walls,TB,IF,,Hitter Fantasy Score,6.5,demon,2026-04-29T13:10:00.000-04:00
MLB,Juan Brito,CLE,IF,,Hitter Fantasy Score,6.5,demon,2026-04-29T13:10:00.000-04:00
MLB,Brayan Rocchio,CLE,IF,,Hitter Fantasy Score,6.5,demon,2026-04-29T13:10:00.000-04:00
MLB,Jonathan Aranda,TB,IF,,Hitter Fantasy Score,5.5,standard,2026-04-29T13:10:00.000-04:00
MLB,Yandy Díaz,TB,IF,,Hitter Fantasy Score,5.5,standard,2026-04-29T13:10:00.000-04:00
MLB,Junior Caminero,TB,IF,,Hitter Fantasy Score,5.5,standard,2026-04-29T13:10:00.000-04:00
MLB,Steven Kwan,CLE,OF,,Hitter Fantasy Score,5.5,standard,2026-04-29T13:10:00.000-04:00
MLB,Chase DeLauter,CLE,OF,,Hitter Fantasy Score,5,standard,2026-04-29T13:10:00.000-04:00
MLB,Cedric Mullins,TB,OF,,Hitter Fantasy Score,5,standard,2026-04-29T13:10:00.000-04:00
MLB,Jake Fraley,TB,OF,,Hitter Fantasy Score,5,standard,2026-04-29T13:10:00.000-04:00
MLB,Ben Williamson,TB,IF,,Hitter Fantasy Score,4.5,standard,2026-04-29T13:10:00.000-04:00
MLB,Kyle Manzardo,CLE,IF,,Hitter Fantasy Score,4.5,standard,2026-04-29T13:10:00.000-04:00
MLB,George Valera,CLE,OF,,Hitter Fantasy Score,4.5,standard,2026-04-29T13:10:00.000-04:00
MLB,Daniel Schneemann,CLE,IF,,Hitter Fantasy Score,4.5,standard,2026-04-29T13:10:00.000-04:00
MLB,Bo Naylor,CLE,C,,Hitter Fantasy Score,3.5,goblin,2026-04-29T13:10:00.000-04:00
MLB,Chandler Simpson,TB,OF,,Hitter Fantasy Score,3.5,goblin,2026-04-29T13:10:00.000-04:00
MLB,Yandy Díaz,TB,IF,,Hitter Fantasy Score,3.5,goblin,2026-04-29T13:10:00.000-04:00
MLB,Nick Fortes,TB,C,,Hitter Fantasy Score,3.5,goblin,2026-04-29T13:10:00.000-04:00
MLB,Taylor Walls,TB,IF,,Hitter Fantasy Score,3.5,goblin,2026-04-29T13:10:00.000-04:00
MLB,Juan Brito,CLE,IF,,Hitter Fantasy Score,3,goblin,2026-04-29T13:10:00.000-04:00
MLB,Brayan Rocchio,CLE,IF,,Hitter Fantasy Score,3,goblin,2026-04-29T13:10:00.000-04:00
