sport,player,team,position,opponent,stat_type,line,odds_type,start_time
MLB,Jeffrey Springs,ATH,P,,Pitching Outs,16.5,standard,2026-04-30T15:05:00.000-04:00
MLB,Jeffrey Springs,ATH,P,,Pitcher Strikeouts,4,standard,2026-04-30T15:05:00.000-04:00
MLB,Jeffrey Springs,ATH,P,,Pitches Thrown,96.5,demon,2026-04-30T15:05:00.000-04:00
MLB,Noah Cameron,KC,P,,Pitches Thrown,94.5,demon,2026-04-30T15:05:00.000-04:00
MLB,Jeffrey Springs,ATH,P,,Pitches Thrown,90.5,standard,2026-04-30T15:05:00.000-04:00
MLB,Noah Cameron,KC,P,,Pitches Thrown,88.5,standard,2026-04-30T15:05:00.000-04:00
MLB,Jeffrey Springs,ATH,P,,Pitches Thrown,85.5,goblin,2026-04-30T15:05:00.000-04:00
MLB,Noah Cameron,KC,P,,Pitches Thrown,83.5,goblin,2026-04-30T15:05:00.000-04:00
MLB,Noah Cameron,KC,P,,Pitcher Fantasy Score,34.5,demon,2026-04-30T15:05:00.000-04:00
MLB,Jeffrey Springs,ATH,P,,Pitcher Fantasy Score,33.5,demon,2026-04-30T15:05:00.000-04:00
MLB,Jeffrey Springs,ATH,P,,Pitcher Fantasy Score,26.5,standard,2026-04-30T15:05:00.000-04:00
MLB,Noah Cameron,KC,P,,Pitcher Fantasy Score,25.5,standard,2026-04-30T15:05:00.000-04:00
MLB,Jeffrey Springs,ATH,P,,Pitcher Fantasy Score,18.5,goblin,2026-04-30T15:05:00.000-04:00
MLB,Noah Cameron,KC,P,,Pitcher Fantasy Score,18.5,goblin,2026-04-30T15:05:00.000-04:00
MLB,Bobby Witt Jr.,KC,IF,,Hitter Fantasy Score,13.5,demon,2026-04-30T15:05:00.000-04:00
MLB,Lane Thomas,KC,OF,,Hitter Fantasy Score,12.5,demon,2026-04-30T15:05:00.000-04:00
MLB,Shea Langeliers,ATH,C,,Hitter Fantasy Score,10.5,demon,2026-04-30T15:05:00.000-04:00
MLB,Nick Kurtz,ATH,IF,,Hitter Fantasy Score,9.5,demon,2026-04-30T15:05:00.000-04:00
MLB,Salvador Perez,KC,C,,Hitter Fantasy Score,9.5,demon,2026-04-30T15:05:00.000-04:00
MLB,Jacob Wilson,ATH,IF,,Hitter Fantasy Score,8.5,demon,2026-04-30T15:05:00.000-04:00
